item_no,topic_id,topic_label,rep_patent_numbers,rep_patent_titles,rep_abstract_excerpts,human_safety_judgment,human_harm_link,cascade_role,plausible_cascade_path,scope_limitation,reviewer_confidence,reviewer_note
29,25,25_industrial robot_industrial_tool_work,CN105555490B;CN105555490A;DE202013104264U1;WO2018219744A1;US20190105779A1;DE102017124713B3;DE102012006180A1;JP2008022023A;IN202517091964A,,"[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein said work station (1) on different areas (17, 18, 19, 20) are provided with different",,,,,,,
30,41,41_image_detection_human_human shape,CN109858472B;CN108363941A;CN119399603B;CN110188671A;CN114419660B,The present invention relates to an embedded real-time human figure detection method and its equipment ||| Human shape determination method based on local motion line analysis ||| A digital human image replica method and system based on NeRF ||| Method for analyzing handwriting characteristics by using machine learning algorithm ||| A humanoid segmentation method based on deep learning,"CN109858472B | The invention relates to the field of computer vision, in particular to an embedded real-time human figure detection method and device. The method comprises the following steps of : obtaining a human figure detection model based on a convolutional neural network by training in advance; Performing im ||| CN108363941A | The invention relates to the field of image processing, and discloses a human shape determination method based on local motion line analysis. The human shape determination method comprises the steps of : S1, inputting data; S2, performing meshed edge extraction; S3, extracting local motion lines; S4 ||| CN119399603B | The invention discloses a NeRF-based digital human image copying method and system, and relates to the technical field of digital human image copying. The method comprises the following steps of : acquiring a digital human image to obtain a training data set; extension and generation of training sam ||| CN110188671A | The invention discloses a method for analyzing handwriting characteristics by using a machine learning algorithm, and relates to the technical field of data identification. The technical scheme of themethod includes the steps : utilizing a general handwritten font data set and a corresponding relati ||| CN114419660B | The present invention provides a humanoid segmentation method based on deep learning. Input the image into the backbone part of the deep neural network to generate high-order features corresponding to the image Then, multiple parallel branches are connected to the feature output end of the neural ne",,,,,,,
31,27,27_path_navigation_obstacle_point,CN120447563B;CN120928375B;CN120991885A;CN120886273B;CN120886273A;CN117841002A;CN121677735B;KR1020160032608A,,"1. A planning method of autonomous navigation path of humanoid robot in complex environment, wherein it comprises : obtaining the current position of the robot as the initial position, receiving the path requirement request of the navigation task of the humanoid robot, and determining the target position according to the path requirement request; constructing a robot feasible motion space based on the body size constraint, joint motion constraint and dynamic balance constraint of the human-shaped robot, generating a constraint preposed map, comprising : analyzing the body width, height and gravity centre position parameter of the human-shaped robot, determining the body size boundary; determining the joint motion boundary based on the joint angle range and motion speed limit of",,,,,,,
32,35,35_image_chess_point cloud_cloud,TWI838897B;CN117237561A;CN119338981B;CN118990480A;CN121503548A,Intelligent calculus engine system ||| The invention relates to a three-dimensional point cloud map reconstruction method under the closed environment of a humanoid robot ||| An object three-dimensional information reconstruction method based on humanoid robot body perception ||| A method and system for recognizing and positioning target of humanoid robot ||| A method for optimizing HardSwish activation function curve in neural network,"TWI838897B | an intelligent algorithm engine system, the intelligent algorithm engine system is provided with the AI core engine and comprises the AI training learning module and the AI inference and judgment module, and the AI core engine 1 is connected with a model optimization module and an algorithm module;  ||| CN117237561A | A three-dimensional point cloud map reconstruction method under a closed environment of a humanoid robot includes the following steps : S1 : collecting information in a real scene by the humanoid robot; Processing the collected information to obtain a three-dimensional point cloud model of the reali ||| CN119338981B | The invention relates to an object three-dimensional information reconstruction method based on humanoid robot body perception, which includes : step 1. Obtain the single-view depth image collected by the humanoid robot body, perform preprocessing, and obtain the single-view three-dimensional point  ||| CN118990480A | The invention discloses a method and a system for identifying and positioning a target of a humanoid robot The method comprises the following steps of : calculating the three-dimensional position of a target to be identified by using a double-view-angle monocular vision positioning method; prelimina ||| CN121503548A | The invention provides a method for optimizing a HardSwish activation function curve in a neural network The method includes : S1. Train the HardSwish activation function humanoid detection model : the training framework is PaddleDetection, the network is picode _ s _ 320 _ coco _ lcnet, and the opt",,,,,,,
33,60,60_target_rescue_aid_extinguishing,IN201841016659A;CN110812761A;TR2021001999A1;US20240131719A1;CN120771478A,FLYING HUMANOID FOR DISASTER RESPONSE ||| Fire extinguishing system for pre-positioning robots for quick response by using fire alarm network ||| A NEW TEST STAND FOR MICRO UNMANNED AERIAL VEHICLES ||| FireFighting Robots ||| A system in which drones and quadruped robots work together to extinguish forest fires,"IN201841016659A | In technological development era, the requirement for skyscrapers probably high-rise buildings, large scale complex structures are rapidly increasing due to the advancement of construction technologies and other economic reasons. Human habitat incumbents dwell in urban spaces which are densely popul ||| CN110812761A | The invention discloses a fire extinguishing system for pre-positioning robots for quick response by using a fire alarm network. The fire extinguishing system comprises a fire alarm control unit, a cluster control unit, a plurality of addressing type fire detection units and the plurality of fire-fi ||| TR2021001999A1 | The invention concerns a new test stand for micro unmanned aerial vehicles. ||| US20240131719A1 | Device, system, and method for Firefighting Robots™ which can fight fires, wildfires, forest fires, building and/or house fires and general fires by precisely applying water and/or fire retardant to a blaze by using sensors to pinpoint the direction, range, and temperature of the fire in order to pr ||| CN120771478A | The present invention provides a system for joint extinguishing of forest fires by unmanned aerial vehicles and quadruped robots, involving the field of forest fire prevention and fighting. The system for the drone and quadruped robot to work together to extinguish forest fires, including drone swar",,,,,,,
34,62,62_electrode_measurement electrode_108_elements,DE102019107851B4;US20250241544A1;FR3084002A1;US63484517P0;CA3134287A1;FR3083728A1;FR3084002B1;US20250219277A1,,"A robot gripper includes : a drive unit to drive a powertrain with active elements, wherein each element has a working region arranged in a body-fixed manner relative to the robot gripper, a respective element being moveable in and capable of reaching the working region; a control unit to control the drive unit; and a sensor system connected to the control unit to ascertain forces/moments applied externally to individual elements, the control unit configured such that collision monitoring is capable of being carried out for the elements, and when a collision is detected for an element, the drive unit is actuated according to a specified operation, including : providing a defined region within the working region for the elements, and collision monitoring for the elements only whe",,,,,,,
35,37,37_foot_sole_heel_arch,CN118928586B;CN120697869B;CN120621535B;CN113349762A;CN223934846U;CN120461477A;CN221214319U;CN200967506Y;CN121608822A,,"The invention discloses a humanoid robot bionic foot with autonomous terrain testing ability, which includes a front sole component and a rear sole component that are flexibly connected through the sole fascia. The support connecting frame and the arch component are hinged to form a space transmission structure, which cooperates with the fascia to form an arched composite support. Its innovative points are : the locust-like foot pad realizes segmented flexibility and local fit buffering; the plantar fascia and arched arch absorb impact in the early stage of gait and reduce rigid body transmission; the dorsal muscle-imitating elastic sheet and the Achilles tendon-imitating elastic sheet store and release energy in the second half of gait to improve dynamic stability; pressure sensors are",,,,,,,
36,1,1_humanoid robot_humanoid_joint_robot,CN115616898B;CN112859901B;CN118331283B;JP2010137289A;CN121916894A;CN116520869A;CN106737671B;CN111055285A;CN1807135A;CN122353585A,,"1. A reaction-type step planning and motion control method for human-shaped robot, wherein it comprises the following steps : obtaining the external control speed, calculating the motion step length and direction of the humanoid robot; establishing a human-shaped robot linear inverted pendulum model, based on the periodic motion characteristic and track energy conservation of the linear inverted pendulum model, combining with the condition of the stability recovery of the disturbed linear inverted pendulum model, obtaining the footprint compensation of the disturbed human-shaped robot; based on the motion step length and direction of the human-shaped robot, combining the footprint compensation, generating a plurality of foot-standing points of the human-shaped robot, based on a",,,,,,,
37,2,2_voice_user_emotion_expression,CN106113057B;IN202641065460A;WO2026087447A1;CN113910217A;CN119484770A,Based on robot audio and video information method and system ||| AI-Enabled Adaptive Emotional State Light Panel System for Social Robots ||| ROBOT-IMPLEMENTED SPEECH RECOGNITION METHOD ||| The invention discloses a head orientation method of a humanoid robot with cooperative hearing and vision ||| Gain adjusting system and gain adjusting method based on picture proportion of human-shaped model of monitoring picture,"CN106113057B | The embodiment of the invention discloses an audio and video propagandizing method and system based on a robot. The method includes the steps that audio and a video are played through a first display screen, and the emotional characteristics of persons in the audio and the video are acquired; in a p ||| IN202641065460A | The present invention relates to an AI-Enabled Adaptive Emotional State Light Panel System for Social Robots designed to improve emotional communication and human–robot interaction through intelligent adaptive visual expression. The system integrates artificial intelligence, machine learning algorit ||| WO2026087447A1 | The present invention relates to a method for achieving speech recognition by a robot (2), comprising : ● capturing sound signals emitted by users (1) ● recording an image of the users (1) ● transmitting the sound signals and the image to a processing unit of the robot (2), which processing unit is  ||| CN113910217A | The invention provides an auditory and visual cooperative humanoid robot head orientation method, which is characterized by comprising the following steps of : firstly, acquiring a voice signal through a microphone array and recording time; Recognizing and counting the number of collected microphone ||| CN119484770A | The invention discloses a gain adjustment system and method based on monitoring picture humanoid model picture proportion, which is applied to a network monitoring camera and includes : a camera for capturing monitoring pictures; microphone pickup module, used to pick up sound signals so as to achie",,,,,,,
38,12,12_bearing_shaft_motor_output,CN110666836A;CN112888534B;CN112888535B;CN121649957A;CN210061197U;CN111086022A;CN121157000A;CN118636189A;JP2010069565A;CN224183069U,,"1. The bidirectional output-for humanoid robot integrated joint, wherein the arm part comprises frameless torque motor (100), electromagnetic safe brake (200), the absolute value of the position sensor (300); the harmonic speed reducer (400), an output part (500), a bearing and a bearing frame (600), shell (700), frameless torque motor (100) comprises a motor stator (110), a motor rotor (120), a high speed motor shaft (130); wherein the motor stator (120) is installed on the inner wall of the shell (700), a motor rotor (120) is installed on the high speed motor shaft (130); the electromagnetic safe brake (200) comprises a stator body (210); the locating disc (220), sensing the brake disc (230), the outer cover (240), a shaft supporting the auxiliary structure (250), an el",,,,,,,
